Utterance	POV Converted Text
Remind CN to get ps4 at sony outlet	SCN reminds to get ps4 at sony outlet
Remind CN to buy white light after 6 months 	SCN reminds to buy white light after 6 months 
Remind CN to return the watch tomorrow 	SCN reminds to return the watch tomorrow 
Remind CN to use floor cleaner in the evening 	SCN reminds to use floor cleaner in the evening 
Remind CN to get wide lens camera within this week	SCN reminds to get wide lens camera within this week
Remind CN to decrease the bass while playing loud music 	SCN reminds to decrease the bass while playing loud music 
Remind CN to get belgian waffles at ihop	SCN reminds to get belgian waffles at ihop
Remind CN to drink hot water at office 	SCN reminds to drink hot water at office 
Remind CN to change the monitor today 	SCN reminds to change the monitor today 
Remind CN to send the consolidated report after completing the task 	SCN reminds to send the consolidated report after completing the task 
Remind CN to use bar chart in excel tomorrow 	SCN reminds to use bar chart in excel tomorrow 
Remind CN to get swimming suit at puma store, chennai	SCN reminds to get swimming suit at puma store, chennai
Remind CN to send the car to school	SCN reminds to send the car to school
Remind CN to use water color while outlining the chart 	SCN reminds to use water color while outlining the chart 
Remind CN to use less organic fertilizer while planting the seed	SCN reminds to use less organic fertilizer while planting the seed
Remind CN to get medicines at the hospital itself 	SCN reminds to get medicines at the hospital itself 
Remind CN to get 360 shock proof cover at the store 	SCN reminds to get 360 shock proof cover at the store 
Remind CN to compare all prices quotes before making a decision	SCN reminds to compare all prices quotes before making a decision
Remind CN to read the feedback regularly	SCN reminds to read the feedback regularly
Remind CN to check the mode of payment before confirming 	SCN reminds to check the mode of payment before confirming 
Remind CN to book table at 9.00 pm	SCN reminds to book table at 9.00 pm
Remind CN to print the call letter before visiting the venue	SCN reminds to print the call letter before visiting the venue
Remind CN to make slot booking on Saturday 	SCN reminds to make slot booking on Saturday 
Remind CN to print the passbook at the end of the month 	SCN reminds to print the passbook at the end of the month 
Remind CN to register in googlepay today 	SCN reminds to register in googlepay today 
Remind CN to verify the report after completing 	SCN reminds to verify the report after completing 
Remind CN to reduce the screen contrast now 	SCN reminds to reduce the screen contrast now 
